
SPIP-Core spip-3.1.0 -> spip-3.1.1  10 mars 2016
-------------------------------------------------------------

r22715 | cedric    |  (jeu. 07 janv. 2016) | utiliser une URL au protocole implicite pour la css admin
r22907 | cedric    |  (jeu. 10 mars 2016) | un var_isbot pour permettre le monitoring par robot (monitoring de la disponibilite user/robot)+ mise a jour de la liste des robots
r22908 | cedric    |  (jeu. 10 mars 2016) | un filtre filtrer_entites

SPIP-plugins-dist spip-3.1.0 -> spip-3.1.1  10 mars 2016
-------------------------------------------------------------

r94481 | Francky   |  (mer. 06 janv. 2016) | les plug ne sont que pour spip 3.1, donc les utilises doivent avoir une version qui fonctionne en 3.1, j'ai donc fait un up en prenant la première dispo quand il s'agit d'utilise qui ne sont pas dans les plugin dista savoir pour "memoization" http://zone.spip.org/trac/spip-zone/changeset/86034/_plugins_/memoizationet pour yaml:http://zone.spip.org/trac/spip-zone/changeset/85882/_plugins_/yaml
r94901 | rasta     |  (mer. 03 févr. 2016) | Solidification du fullscreen et de la prévisu : le code appelait des sélecteurs sur toute la page et non DANS le champ uniquement en question. Au passage ça ne marchait pas non plus pour la prévisu habituelle : là aussi ça buguait si plusieurs champs en avait. Et re au passage "mark" est déjà un objet jQuery donc pas besoin de le remettre dans un $().Fullscreen et prévisu fonctionnent désormais pour plusieurs champs dans la même page.Reste que la sortie de Fullscreen oublie de remettre le champ à la taille qu'il avait (ou à une taille correspondant à son contenu) : ça laisse la hauteur d'écran du fullscreen ! Du coup on se retrouve avec des champs immenses à chaque fois.
r94998 | b_b       |  (dim. 07 févr. 2016) | neo-dist => distcf http://article.gmane.org/gmane.comp.web.spip.zone/39874
r94999 | b_b       |  (dim. 07 févr. 2016) | syncro avec la dist du trunkcf http://article.gmane.org/gmane.comp.web.spip.zone/39874
r95077 | b_b       |  (mer. 10 févr. 2016) | report de r95076 : réparer les liens tout cocher, tout décocher... ​https://core.spip.net/issues/3687utiliser prop et non attr, compat jQuery > 1.9 cf ​https://core.spip.net/issues/3439
r95129 | marcimat  |  (dim. 14 févr. 2016) | Report de r95128 : pas de notion de 'compressed_size' dans pcltar : notice php en moins.
r95130 | marcimat  |  (dim. 14 févr. 2016) | Report de r95126 et r95127 sur la vieille lib PCLTar relatifs à PHP7 et aux notices PHP.
r95236 | b_b       |  (ven. 19 févr. 2016) | report de r95234
r95274 | b_b       |  (sam. 20 févr. 2016) | report de r95266
r95345 | b_b       |  (lun. 22 févr. 2016) | report de r95344
r95474 | b_b       |  (jeu. 25 févr. 2016) | report de r95473 / retour sur r73191 : code de debug certainement envoyé par erreur
r95498 | b_b       |  (jeu. 25 févr. 2016) | report de r95497 / ménage, pas de code pour un plugin dans la dist
r95517 | b_b       |  (ven. 26 févr. 2016) | report de r95317
r95528 | b_b       |  (ven. 26 févr. 2016) | report de r95527
r95591 | b_b       |  (dim. 28 févr. 2016) | report de r95586 et r95590
r95777 | cedric    |  (sam. 05 mars 2016) | Eviter une notice
